"time","eurhuf","usdhuf","kinfodummy","napi_google","heti_google"
2021-08-19,351.22900390625,300.709991455078,0,6,13
2021-08-22,350.502990722656,299.320007324219,0,15,1
2021-08-23,349.81201171875,298.109985351562,0,0,1
2021-08-24,349.046997070312,297.39599609375,0,0,1
2021-08-25,349.123992919922,296.89599609375,0,0,1
2021-08-26,350.9169921875,299.002990722656,0,0,1
2021-08-29,349.319000244141,296.100006103516,0,0,1
2021-08-30,349.739013671875,295.946990966797,0,9,1
2021-08-31,348.820007324219,295.760009765625,0,0,1
2021-09-01,349.194000244141,294.440002441406,0,6,1
2021-09-02,348.721008300781,293.660003662109,0,7,1
2021-09-05,348.128997802734,293.239990234375,0,0,0
2021-09-06,348.884002685547,294.649993896484,0,5,0
2021-09-07,350.470001220703,296.696014404297,0,0,0
2021-09-08,351.289001464844,297.394989013672,0,0,0
2021-09-09,351.088989257812,296.665008544922,0,0,0
2021-09-12,350.415008544922,297.375,0,0,4
2021-09-13,350.092010498047,296.553985595703,0,0,4
2021-09-14,350.011993408203,296.549987792969,0,6,4
2021-09-15,351.295013427734,298.696990966797,1,16,4
2021-09-16,353.177001953125,300.855987548828,0,0,4
2021-09-19,354.505004882812,302.489013671875,0,0,2
2021-09-20,354.928985595703,302.385009765625,0,3,2
2021-09-21,355.467010498047,303.029998779297,0,4,2
2021-09-22,356.502014160156,304.119995117188,0,0,2
2021-09-23,357.031005859375,304.843994140625,0,4,2
2021-09-26,358.427001953125,306.429992675781,0,0,2
2021-09-27,359.761993408203,308.140014648438,0,0,2
2021-09-28,360.114990234375,310.101989746094,0,0,2
2021-09-29,361.113006591797,311.885009765625,0,9,2
2021-09-30,359.609985351562,310.529998779297,0,0,2
2021-10-03,357.417999267578,308.160003662109,0,0,1
2021-10-04,358.329986572266,308.654998779297,0,0,1
2021-10-05,360.365997314453,312.239990234375,0,4,1
2021-10-06,358.821990966797,310.7080078125,0,0,1
2021-10-07,361.054992675781,312.070007324219,0,0,1
2021-10-10,361.680999755859,313.015014648438,0,0,1
2021-10-11,360.533996582031,312.544006347656,0,0,1
2021-10-12,360.747009277344,312.660003662109,0,0,1
2021-10-13,359.914001464844,310.670013427734,0,2,1
2021-10-14,360.022003173828,310.570007324219,0,0,1
2021-10-17,362.316986083984,312.265014648438,0,3,2
2021-10-18,362.417999267578,311.605010986328,0,0,2
2021-10-19,363.311004638672,312.555999755859,0,0,2
2021-10-20,363.927001953125,312.744995117188,0,0,2
2021-10-21,364.580993652344,313.467010498047,1,6,2
2021-10-24,366.772003173828,316.304992675781,0,3,11
2021-10-25,366.592987060547,316.085998535156,0,0,11
2021-10-26,365.592010498047,315.571014404297,0,0,11
2021-10-27,363.828002929688,314.070007324219,0,2,11
2021-10-28,362.343994140625,311.940002441406,1,21,11
2021-11-01,360.727996826172,311.920013427734,0,2,6
2021-11-02,361.201995849609,311.182006835938,0,0,6
2021-11-03,359.957000732422,310.773986816406,0,3,6
2021-11-04,360.4169921875,312.412994384766,0,11,6
2021-11-05,360.290985107422,312.161987304688,0,0,6
2021-11-08,362.049987792969,311.700012207031,0,10,22
2021-11-09,362.143005371094,312.527008056641,0,3,22
2021-11-10,363.372009277344,315.570007324219,0,4,22
2021-11-11,365.811004638672,319.194000244141,0,37,22
2021-11-12,366.846984863281,320.572998046875,0,7,22
2021-11-15,367.078002929688,320.691986083984,0,0,38
2021-11-16,366.694000244141,322.975006103516,0,0,38
2021-11-17,365.345001220703,323.756988525391,0,2,38
2021-11-18,364.549011230469,321.880004882812,1,100,38
2021-11-19,368.27099609375,327.029998779297,0,18,38
2021-11-22,370.177001953125,329.143005371094,0,2,9
2021-11-23,371.858001708984,330.742004394531,0,3,9
2021-11-24,370,330.035003662109,0,2,9
2021-11-25,368.739990234375,328.970001220703,0,20,9
2021-11-26,369.652008056641,328.135009765625,0,2,9
2021-11-29,369.192993164062,327.350006103516,0,2,10
2021-11-30,368.408996582031,325.565002441406,0,4,10
2021-12-01,365.111999511719,322.885009765625,0,0,10
2021-12-02,364.007995605469,321.940002441406,1,27,10
2021-12-03,366.032012939453,324.274993896484,0,5,10
2021-12-06,365.75,324.600006103516,0,0,4
2021-12-07,367.334014892578,326.782012939453,0,0,4
2021-12-08,368.654998779297,327.135009765625,0,1,4
2021-12-09,366.273010253906,323.869995117188,0,8,4
2021-12-10,365.835998535156,324.660003662109,0,3,4
2021-12-13,368.360992431641,326.679992675781,0,0,3
2021-12-14,367.868988037109,326.346008300781,0,0,3
2021-12-15,370.264007568359,329.105987548828,0,4,3
2021-12-16,369.584991455078,327.239990234375,0,0,3
2021-12-17,368.627990722656,325.640014648438,0,0,3
2021-12-20,368.609985351562,326.920013427734,0,2,7
2021-12-21,369.013000488281,327.149993896484,0,12,7
2021-12-22,369.049011230469,326.397003173828,0,4,7
